feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,label
-3.411563,-1.596678,2.362513,-7.340003,-6.562986,-3.570144,-1.565456,3.893281,-8.437455,3.780506,4.667095,-9.280939,-0.504315,-10.040291,-9.602106,4.470691,8.407055,2.12512,1
-4.629398,4.685839,6.142229,-1.247813,8.145842,-0.545984,2.290825,-2.523365,-12.084143,-8.418551,-8.962487,5.322904,-4.433174,-1.949902,8.847317,-6.550998,1.344358,4.019557,5
-3.973415,7.900817,5.450587,-0.303992,-9.408302,-6.383659,-8.892127,7.660908,2.677579,4.276203,-8.372125,9.59307,2.634245,-9.248987,-2.507602,-6.331766,-2.014672,-0.196279,0
6.622547,8.270369,-6.889466,-5.536713,-10.290162,-3.895825,0.149321,-4.996828,8.642592,-1.119415,-2.196587,1.984973,-5.940898,3.261809,-6.751127,7.314414,8.538517,-3.484573,3
-5.11475,-7.988802,1.251098,-0.458587,-3.021105,1.352578,-8.503006,9.990851,0.121827,2.468236,-4.535835,-0.701658,-2.024115,-5.999172,9.454402,6.127647,6.727116,4.096584,2
-1.519228,11.579081,-8.245808,-8.679439,-9.935808,-1.443563,-2.297477,-5.652288,5.858811,-4.086263,-4.73784,-1.480189,-7.160052,5.796173,-7.435128,9.211851,4.640108,-7.542879,3
-10.297925,2.496544,6.648831,1.522644,3.617233,-3.772826,2.197226,-0.037981,-9.678493,-11.752569,-11.132437,6.062122,-2.448494,1.812424,8.559732,-5.317221,-3.615042,5.621913,5
-11.601376,5.865776,3.7348,7.791415,4.684252,-7.728413,-1.26449,-9.506925,7.203504,3.508839,-3.408912,-5.781348,-4.337558,-3.001926,6.075586,2.737485,8.381614,-0.425539,4
-0.359296,6.650565,6.610682,4.355456,-7.181983,-5.863215,-7.850324,5.62359,1.258388,5.663072,-10.579955,11.349196,9.258798,-3.465874,-2.403891,-6.513374,-3.560753,1.136455,0
-6.523384,-9.790813,3.789236,-1.716502,-9.685945,-5.899796,-10.111327,8.061354,-3.677117,2.466636,-1.928577,1.998052,0.500735,-5.001414,11.044611,4.492537,7.735235,8.317585,2
1.314604,-4.825143,6.637319,-7.845399,-5.057018,-3.006705,-1.194137,2.83598,-8.269236,-2.158832,2.318497,-6.078158,0.814241,-6.846407,-10.314484,10.298153,9.847113,8.013784,1
-4.365309,-4.518048,1.682807,-3.287673,-7.412502,0.234858,-9.356861,6.569542,-5.26434,2.254354,-7.064073,-0.663298,0.315682,-9.316117,11.16581,8.885433,8.868767,5.197536,2
-3.308304,11.142838,3.710942,5.113953,-6.657185,-4.420547,-9.065968,7.466589,4.473142,8.549302,-6.467576,11.152466,7.82742,-6.767115,-5.773041,-8.158008,-3.163591,1.37523,0
-9.093041,8.083115,11.98505,4.147485,6.243451,1.1384,-1.056178,-0.726965,-9.78619,-7.077677,-8.056458,2.927406,-1.202549,-0.218852,7.800796,-3.986386,1.635207,6.452251,5
-2.742485,-2.262376,0.330918,-8.140321,-5.716497,-3.05347,-2.975605,2.737271,-6.888218,-0.256129,4.081254,-8.938467,-0.192533,-8.052881,-7.271983,8.130078,7.126427,6.332605,1
-12.901555,7.927197,3.308644,3.462243,5.03079,-12.572079,-4.874205,-7.021678,5.468312,3.818984,-4.254733,-10.439369,-2.891586,-4.349718,6.189133,2.702437,8.731348,0.554322,4
-1.777856,-3.054985,3.816596,-5.602613,-2.709272,-0.033778,0.643737,3.39469,-6.916198,-3.105812,3.840921,-6.681824,-0.289844,-7.349457,-12.209818,8.735681,7.658648,3.832528,1
0.683093,7.374428,-7.598047,-5.992558,-10.775516,-3.7241,-2.543445,-3.305216,6.900748,-4.61543,-6.935528,0.54623,-10.175522,7.079672,-7.512953,12.863642,6.386104,-5.807123,3
-6.099456,11.785437,7.358649,-0.759253,-3.861147,-6.115875,-8.516957,10.553089,4.711671,5.464113,-8.641876,10.630986,5.848738,-5.863421,-8.168135,-6.997989,-4.648423,-0.775482,0
-5.545323,-7.419043,0.84077,0.539318,-7.780129,-2.047301,-12.312724,10.207086,-9.32354,4.192376,-3.487973,1.67389,-1.235876,-7.647161,10.041515,5.607479,10.545095,7.807503,2
-3.658523,-6.567568,4.830889,-0.744532,-8.74491,-1.91696,-10.01377,8.715197,-4.641434,1.737626,0.493921,2.172968,0.350416,-5.930903,8.362753,10.709062,7.286026,7.397423,2
-8.409848,3.33982,6.728398,1.99883,9.378631,1.718394,-1.428408,0.636776,-12.420853,-6.889314,-12.774174,1.58691,-1.462829,-3.13963,10.507993,-5.534218,3.556429,4.555883,5
-7.742349,5.791849,6.488764,-0.826975,2.47911,-2.680199,1.491432,-1.342888,-10.706849,-8.131064,-6.565983,6.649789,-6.049097,4.387483,9.01038,-5.435695,-2.38767,3.154307,5
-0.968973,10.133217,6.958569,3.169966,-8.689136,-5.1001,-8.639716,9.415852,5.118098,3.917719,-7.836716,11.465504,6.966353,-1.837037,-4.272414,-7.502686,-3.394996,2.215466,0
3.391956,-1.954261,1.530568,-7.405138,-10.771882,-7.354534,-0.913379,4.539326,-8.242545,0.352854,0.669842,-11.013028,4.159211,-9.16816,-7.304472,9.457373,12.044597,5.21963,1
-10.91793,8.832622,4.045766,3.054505,8.062977,-7.106416,-1.863062,-6.02398,7.613964,3.784399,-8.364599,-11.180018,-5.175241,-2.064402,4.985322,6.230515,2.816119,0.490181,4
-3.339078,-3.070326,1.448152,-7.26149,-5.700866,-3.806697,-1.845512,4.52895,-6.826242,0.679562,4.628179,-7.549173,1.481753,-7.854671,-12.256983,7.631421,7.115836,6.27698,1
-1.597265,-8.189839,3.505932,0.023188,-5.013813,-2.949087,-9.635468,3.605838,-2.867828,1.84763,-2.936004,-2.283088,0.762541,-7.347189,7.847494,7.432216,6.992289,10.278915,2
-0.347932,-7.020656,0.916726,-2.312121,-11.418365,-0.446787,-11.199294,8.281293,-5.2581,4.052103,-0.929944,2.978244,4.20647,-6.512975,8.801783,3.974354,7.54582,8.742078,2
-12.985893,3.900897,5.909347,6.670151,7.576525,-6.831977,-5.417854,-6.522391,9.343353,1.093071,-3.117828,-7.285749,1.315025,-1.732003,2.009331,0.513467,6.370057,-1.150158,4
-2.843023,5.470105,4.423127,0.08457,7.974487,2.003391,1.260044,-1.848292,-6.234309,-7.877237,-10.940784,3.491096,-5.934784,2.569401,6.041054,-6.212295,-5.549951,5.459749,5
4.726976,9.930036,-10.831511,-3.712856,-9.930293,-5.819848,-3.567072,-1.013259,10.075713,-3.566756,-2.391382,1.741934,-7.827882,6.648949,-12.118324,8.662614,5.284197,-5.356788,3
-0.046803,8.438939,6.769802,0.460741,-7.159394,-8.049688,-8.887702,7.456013,2.016974,3.981084,-9.333735,11.908978,2.627101,-1.911375,-7.065056,-6.487719,-1.256552,1.708507,0
-11.849247,3.799399,4.472218,4.494026,7.206976,-7.609113,-3.976592,-11.889761,6.898352,2.539592,-1.527472,-10.530126,-1.626456,-5.014626,5.45469,4.195235,9.328057,-0.567431,4
-1.50504,10.146636,7.847232,1.296808,-8.809462,-4.612407,-8.025574,5.106,3.433448,7.837962,-10.975829,7.616194,6.70898,-4.392619,-6.513327,-4.063059,-3.393741,2.518436,0
2.546877,8.183928,-9.295473,-8.915173,-9.267647,-2.380941,0.012263,-6.208318,11.154308,-1.101777,-3.013365,1.293929,-12.612363,6.814521,-9.003068,12.27678,5.363245,-3.631358,3
-7.277532,5.237602,3.87305,0.085623,5.482073,0.186431,-1.887763,-1.558018,-10.794883,-9.305646,-10.41514,1.51661,-4.016955,-3.273977,8.206323,-6.585046,-0.820447,3.419739,5
-0.30357,8.165155,-10.157137,-9.372755,-7.215451,-3.415463,-0.018948,-1.559529,5.020894,-7.359274,-3.59484,-1.676628,-7.121189,7.020463,-8.997789,11.348356,6.521821,-7.520515,3
-8.209647,0.860645,5.770329,0.940642,4.984998,-0.951915,1.477277,-2.599117,-13.559971,-10.922589,-13.581853,2.584543,0.633843,1.826915,10.867721,-6.771814,-0.701216,4.788692,5
2.211526,6.504817,-9.763359,-6.646449,-11.216152,-0.334869,-2.326166,-3.125352,7.621869,0.870069,-7.893611,1.468244,-7.805066,6.772393,-7.417816,10.089226,7.348163,-3.052962,3
-2.79447,-6.555839,6.668081,-4.403133,-9.853936,-0.89072,-7.86709,10.190372,-4.619668,-0.590785,-1.222601,1.203535,1.81764,-10.987151,12.313137,5.150718,11.22054,9.498235,2
-2.720502,-9.342036,0.905901,0.664225,-11.818283,2.109334,-6.847269,10.550402,-3.657685,4.485289,-1.978953,1.567867,-1.387074,-6.21576,7.802049,6.962945,8.457382,5.597186,2
-8.867323,7.67122,3.606491,4.67766,6.763731,-5.872622,-0.972453,-6.7135,5.107704,5.613921,-3.935925,-8.964057,-2.043828,-2.289508,-0.330892,2.389058,7.394783,-1.64338,4
3.467217,12.083693,-9.614274,-6.1318,-9.647058,-2.650027,-1.060939,-2.591579,2.682696,-0.241803,-3.156179,1.887771,-8.735709,3.833525,-9.079386,10.140992,3.142426,-4.659042,3
-9.658545,5.206217,7.220105,3.156086,6.449922,-4.858086,-2.350861,-5.303983,4.003296,3.297452,-2.937636,-7.35336,-7.81549,-1.379849,0.468394,3.686252,7.350479,-0.91897,4
-2.88965,-9.297354,4.380056,-0.054349,-6.901712,-0.169598,-10.626087,7.382497,-0.495733,0.882066,-0.001804,4.150431,-1.666643,-7.547551,8.776184,4.271539,7.57835,9.290217,2
2.842553,5.394702,-8.362013,-5.199152,-9.870482,-6.080164,-0.332102,-6.991887,7.521069,-2.824651,-1.428301,5.457286,-8.316987,3.684961,-8.225987,9.807746,6.671126,-7.543669,3
0.465454,7.097644,-8.101271,-5.422799,-12.05855,-3.522347,-2.912699,-5.947508,7.884611,-2.903385,-7.947704,-0.731123,-6.562647,4.015671,-11.137139,12.335947,8.310953,-6.603532,3
-3.98061,-8.552898,4.89863,-3.754018,-6.963777,-2.974747,-8.827253,8.84481,-7.164581,5.375042,-2.391163,-0.573981,-0.039889,-6.51476,7.202084,4.568862,10.928372,10.335718,2
-8.857823,5.250278,2.545719,-2.93867,5.586894,-0.383141,-1.340852,-3.000294,-7.970978,-7.606059,-7.268943,-0.776706,-3.246178,0.284999,7.502366,-5.046453,0.506745,1.561485,5
-4.807562,-8.349178,5.916269,-0.557079,-7.48804,-1.46463,-10.313553,4.636134,-4.425784,0.708559,-4.522948,2.391491,1.401739,-5.693855,11.785027,6.811846,8.465523,3.845209,2
2.886217,6.521784,-6.329723,-5.598878,-9.467742,-7.393209,3.254795,-9.629448,4.078178,-2.059232,-4.969293,4.844099,-6.036824,4.118346,-4.873181,10.672226,6.148667,-5.263219,3
-9.019469,3.280114,6.642652,4.283252,5.706016,0.948652,-4.715739,0.232465,-8.364757,-10.530265,-11.967858,3.936979,-3.478549,-1.217903,8.911413,-2.628976,1.201159,4.552591,5
-1.953512,13.703125,7.132404,1.476976,-11.717885,-6.716824,-8.113734,6.558133,0.320852,4.479782,-11.472833,13.143094,9.682342,-4.437393,-6.18408,-7.652238,-3.95673,3.773723,0
2.355923,8.433346,-9.274115,-9.093494,-7.231673,-4.601246,-3.23199,-4.932711,5.577317,-0.462359,-6.699175,0.096009,-9.995706,4.441604,-9.385061,12.062102,4.854021,-5.415529,3
-1.443631,7.403233,4.209651,5.057723,-4.890924,-5.075567,-9.838073,8.409587,1.554505,3.769265,-8.768939,8.20421,9.634859,-6.073478,-5.12678,-3.420709,-1.851848,-2.32271,0
-0.558092,-6.113444,1.400836,-10.229249,-5.946982,-4.102044,-2.545202,5.977489,-11.568102,-2.200562,2.995978,-4.872354,3.012471,-8.266158,-6.999815,11.165103,7.808074,4.448046,1
-6.960291,4.613811,9.124525,0.315012,1.021479,0.316685,-0.510854,-1.950385,-8.695875,-9.782215,-9.943422,2.183791,-0.339517,2.694127,12.017617,-4.829274,-2.82852,7.508701,5
-1.769982,-2.666198,2.074854,-5.380774,-4.558134,0.04307,-0.043632,3.939918,-7.09332,-0.161565,3.762699,-5.396249,-0.822939,-7.361983,-6.246404,8.866239,9.00151,7.316948,1
-8.555587,2.685041,6.406324,6.346207,5.903889,-3.341211,-1.529997,0.750951,-11.60912,-10.432048,-10.105209,1.414094,-3.470362,1.077126,7.500087,-9.644606,-2.332773,3.630665,5
-9.558587,8.361998,1.738391,-1.640582,1.634199,-0.810647,0.399052,-3.796025,-10.645167,-5.115968,-11.697698,0.587836,-6.057218,0.738819,7.332499,-5.195679,-3.214654,8.0757,5
-4.733853,6.678771,7.189247,-0.298102,-5.861037,-8.112252,-5.604238,5.782673,4.309023,4.531169,-9.08392,5.45758,2.243026,-6.19435,-5.869689,-8.582305,-6.092542,1.618074,0
-9.832529,8.807846,4.342161,7.996295,4.176628,-11.510809,-3.928623,-7.313044,7.65393,-1.772421,-3.676773,-7.304257,0.911539,-6.820117,4.147256,0.04869,7.447936,-1.872556,4
-1.614389,-0.905414,-0.30132,-4.734204,-4.124772,-4.335922,-3.778899,8.664707,-7.721249,0.409413,-0.101209,-5.139272,2.347243,-9.282276,-9.556599,11.763981,7.358978,5.445084,1
-4.880969,5.07198,4.213118,0.212314,-5.78462,-6.012529,-8.811368,10.286672,2.009845,1.24515,-10.035599,11.740133,2.880343,-5.94129,-5.212577,-1.027425,-1.49864,0.760361,0
-1.590976,-10.054162,6.087226,-3.114051,-7.300786,1.257835,-8.372628,6.317215,-6.791306,0.329055,-6.353208,-2.430904,3.510839,-2.670796,10.315973,6.654868,10.221419,7.450837,2
6.626073,6.922517,-6.663155,-3.806724,-7.943874,-0.880591,-1.873622,-4.565141,9.425115,-4.482317,-2.130435,2.113565,-3.814587,4.748329,-9.516139,10.268411,3.956399,-7.607305,3
-10.019047,7.477658,7.335241,2.764262,4.926734,-10.241501,-6.218201,-8.233574,9.596632,0.342853,-2.905276,-11.178732,-5.293898,-2.937544,8.079283,5.408958,7.692716,-2.243175,4
0.723993,8.052771,-5.893458,-2.784856,-7.042235,1.86158,1.991885,-4.56469,5.855516,-6.943494,-7.311141,-1.883784,-7.349477,4.752949,-8.648107,11.54486,7.024343,-7.25291,3
-2.323942,11.500011,4.886737,-0.943257,-3.619367,-6.139429,-10.016835,4.816719,2.814129,3.927108,-6.440017,8.706382,4.974091,-3.961625,-4.512937,-5.994607,-2.562441,0.419754,0
2.731759,7.816624,-8.142897,-7.908624,-10.877201,-4.502274,-0.450828,-6.02097,4.641794,-0.662653,-7.075747,-2.564284,-9.483457,4.502905,-10.010004,11.209131,5.962837,-6.211016,3
-1.771163,-7.112778,3.479286,-1.106895,-8.10327,0.524583,-12.800073,8.78585,-4.498739,0.995163,-4.026485,2.284607,-0.158883,-4.522616,9.855345,6.412402,7.227192,10.470016,2
-9.156367,8.949888,0.563078,1.20683,5.993712,-7.050446,-2.790184,-7.39813,9.512555,1.409358,-2.098781,-9.037967,-4.940237,-5.584155,3.367398,6.268903,6.447406,0.067788,4
-3.749321,7.580834,5.260201,2.085429,-6.479491,-8.641324,-5.868534,6.415433,4.39748,10.43968,-11.334982,10.082967,6.385646,-1.691455,-6.924809,-5.834527,-3.461419,0.294331,0
-14.112145,5.111297,1.648174,1.346693,4.599475,-5.909331,-4.55308,-6.521888,7.397225,0.407532,-0.354388,-9.160687,-6.813901,-1.529042,6.447273,0.554445,10.211648,-1.163409,4
0.49115,8.908193,-10.653528,-7.481946,-12.602307,-5.119454,-0.842984,-3.527543,7.356291,-3.49847,-3.249068,-2.415505,-8.972742,4.770319,-10.536311,10.760839,3.228457,-10.599553,3
-7.561791,7.873949,2.699054,0.049475,2.909184,-1.600779,-1.785558,-6.458118,-7.56627,-7.38738,-10.40195,4.197479,-5.105484,-5.936548,6.669011,-5.703421,-2.283258,3.702971,5
-6.363455,6.590019,3.642576,-0.382582,6.707279,-2.010426,1.138137,-1.357022,-11.66731,-10.128523,-10.804101,4.330152,-2.430841,-0.368029,8.455799,-8.518916,0.2819,3.330783,5
-1.754289,-4.085981,1.283549,-5.349056,-2.407115,-1.796124,0.522044,6.80917,-6.827494,0.996567,3.355995,-9.479796,3.290989,-9.232682,-11.069325,9.143781,8.68773,8.369055,1
-9.017765,2.824304,4.367498,5.165078,3.669247,5.268187,2.312261,-3.439281,-9.748205,-8.658785,-8.514685,2.122534,-4.510096,0.78794,9.216777,-5.855303,-3.786478,5.539644,5
-4.5911,-7.607794,4.513266,-4.541243,-4.074604,-0.308022,-9.451809,7.804738,-3.716109,4.76083,-9.611105,2.005564,-1.607226,-7.365697,7.234145,4.385566,8.068281,7.43732,2
1.274099,6.552898,-1.972996,-8.161415,-9.872833,-2.762141,-2.830689,-2.397306,6.647228,-1.672206,-4.411881,4.818743,-8.485191,3.894875,-8.440284,10.935507,5.16188,-5.204453,3
-6.997989,3.334606,6.583428,-1.910096,-0.685006,0.806313,-0.549302,-3.942399,-10.336966,-4.668879,-11.668451,4.244446,-2.889431,-0.475079,8.643528,-6.530202,-4.650262,6.305954,5
-6.988985,8.001515,2.425087,0.120444,6.01775,2.579659,0.646734,-3.720136,-7.777031,-8.679463,-10.634159,8.626464,-2.260977,0.789222,6.891499,-3.873293,-6.194998,4.056758,5
-5.932,-5.68512,1.742861,-0.61671,-8.803977,1.882301,-7.144489,6.341981,-3.418515,4.988853,-2.592606,-0.065598,-2.509362,-3.972045,8.148341,5.049786,9.723784,5.872346,2
-6.15393,9.687441,3.607783,4.172322,5.933575,-8.25424,-0.863803,-4.175749,7.959118,1.148824,-3.461861,-7.635417,-5.060666,0.250447,5.993934,4.300193,8.848342,-0.723949,4
-1.376785,-4.306489,4.897674,-7.685199,-5.308261,-4.302746,-1.227694,4.233027,-7.736088,-1.495251,0.187206,-10.592657,2.949002,-10.509483,-10.102475,8.777451,11.60989,5.676093,1
-4.330665,-9.770194,3.454619,-1.061964,-10.346925,-1.195554,-7.87823,8.98587,-4.256131,6.318864,-3.464354,0.692235,3.275516,-6.331042,10.371218,1.88594,9.811567,7.201458,2
-2.952512,-1.788889,-0.17575,-8.113536,-7.313692,-4.833878,-0.864705,8.440332,-5.936582,-2.283199,-2.373483,-7.723789,0.836124,-7.63693,-6.545663,8.707942,8.715366,6.491063,1
-7.403262,5.816812,0.8678,2.767456,2.950475,-8.082635,-4.803433,-7.772171,8.337795,2.861765,-4.027912,-10.633573,-5.813441,-4.016914,6.278142,-1.636288,7.601362,-5.795001,4
-8.985288,6.158472,5.859927,1.505222,6.906794,-2.902997,1.881164,-2.341592,-9.384375,-6.588918,-6.793095,1.798907,-5.397049,3.843669,10.451776,-4.400212,-6.275951,2.876303,5
-0.941735,6.21809,4.151079,3.084887,-7.454795,-7.293618,-9.113899,5.65232,4.370102,2.125376,-8.951991,10.225493,4.751609,-5.607009,-8.182765,-3.549825,-6.192721,-0.812666,0
-3.178804,5.426444,3.506469,0.773527,-8.193897,-8.275547,-10.145254,6.55044,0.751218,4.578097,-8.867573,7.576907,9.190983,-7.713342,-9.599102,-5.570354,-5.549971,1.137712,0
-5.034393,10.799148,3.53396,0.655843,-8.287279,-8.985053,-8.302732,9.113487,0.576322,0.4752,-11.642539,8.501625,4.185982,-6.950681,-7.466554,-6.36289,-6.825064,1.655355,0
-8.714223,7.531844,3.213547,8.21787,1.764175,-11.484789,-3.495852,-9.314752,6.755742,3.54665,0.79568,-9.668144,-4.706689,-3.538871,7.829627,2.427527,8.422939,-0.66806,4
-7.749313,5.99492,3.311763,3.201255,6.884644,-0.602288,2.063661,2.418718,-9.358721,-10.667583,-10.513656,2.198858,-5.586021,1.238799,10.118739,-6.995143,-1.757603,5.081417,5
-3.984252,-5.572944,4.925897,-0.400473,-6.417195,-0.44418,-9.338836,7.72007,-4.949026,2.713803,-3.099568,3.326211,-2.06421,-5.874141,10.470424,6.612658,7.121503,6.881614,2
-4.192616,-6.166749,0.012704,-2.902086,-10.080471,1.597153,-8.312839,10.51705,-2.917883,2.176822,-4.060519,-0.352864,3.824225,-5.226416,11.338039,6.969796,7.801761,6.076837,2
-10.023651,6.185906,6.093446,3.559505,6.44649,-12.662256,2.870058,-7.093912,7.695643,0.703924,-3.18729,-8.107111,-8.287265,-2.829542,3.124298,-1.890636,4.203918,-2.562995,4
-5.644629,2.731463,6.500756,2.01852,3.414208,-1.02115,-0.889045,2.003912,-11.039625,-7.324365,-12.104868,3.281201,-3.948072,-0.763705,6.978853,-6.669476,-3.640279,8.166957,5
-6.776532,5.520544,7.938772,3.92194,4.036058,0.538838,2.7439,-1.9856,-9.081702,-6.551647,-11.034514,4.73917,-1.759717,1.97607,7.9857,-4.076883,2.974283,1.943235,5
-9.748118,8.488032,7.760997,5.79332,7.228671,-11.305511,-2.957489,-4.949208,3.419054,3.693182,-3.743255,-7.621467,-5.828226,1.200405,5.582421,3.837907,9.449787,0.592751,4
-7.298934,7.27151,4.120355,1.811843,3.75943,-10.714226,-2.284155,-9.217223,4.972644,0.398858,-3.763455,-7.636481,-4.299036,-6.691922,1.427363,1.134277,9.24374,-1.337984,4
2.964111,10.913447,-8.351979,-10.341494,-10.216302,-2.538873,-3.417614,-4.82589,3.142694,2.747552,-3.084508,3.012753,-3.722227,1.052056,-7.979301,9.097244,5.10153,-6.826112,3
-5.676176,7.886679,3.834534,1.806727,-9.482278,-7.315175,-9.459295,5.248339,1.786365,3.079113,-8.597138,7.627542,6.828521,-7.369995,-7.563009,-5.737327,-3.44572,-0.338916,0
