@relation dataset_classification

@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute feature_17 numeric
@attribute feature_18 numeric
@attribute feature_19 numeric
@attribute feature_20 numeric
@attribute label numeric

@data
0.024647,3.33783,-0.5478,-1.459608,-3.769784,1.820742,-0.00886,2.956491,3.524245,9.892828,-0.251815,1.360672,0.787591,-1.553549,-2.244056,-0.774601,-1.039595,0.228327,0.320016,4.953794,3
-1.232321,-1.821079,-0.480919,6.501877,-4.966042,0.03495,-3.478865,-3.726361,-15.521319,5.6592,0.501008,1.29294,0.29721,-5.248134,1.071076,-1.3642,0.149161,1.905243,-0.56668,-6.59045,2
-8.286334,0.874722,-5.145899,15.394979,-2.29063,0.202323,-3.0596,-0.860856,-3.778081,11.366196,2.19041,-0.981797,4.789578,-2.360927,-3.936177,4.336957,-1.335307,0.789443,-0.41836,-0.727192,4
0.877634,0.231333,-0.835154,-1.373892,1.275048,-0.051738,1.614621,1.557106,4.78986,-0.587773,0.921102,0.426755,2.601076,-0.667583,-1.786111,-0.805983,0.80049,0.914674,-0.78136,0.623274,0
2.303576,-0.798239,-1.214572,-7.018419,-0.115376,-2.47866,-4.601538,3.293509,3.209338,-0.706173,1.032743,-0.867436,3.445598,-0.037871,3.176497,2.461225,-1.434314,-0.735386,-0.559595,2.897437,1
0.847778,3.835157,2.574553,-5.988335,-3.911138,0.866587,-1.31867,-2.130237,-2.504068,4.174607,0.054506,3.041147,-1.48684,-0.49426,1.775277,-1.365416,0.421072,0.414795,-0.906347,2.268418,1
-2.726153,2.46491,1.589862,1.379046,-1.126289,0.093901,1.715462,0.763577,1.039158,7.811888,0.421561,2.417743,0.590486,-2.775202,-1.885972,-1.044912,0.159454,-0.307396,-0.74069,-0.05832,0
-1.608545,0.04074,-2.933738,3.575579,-0.604812,-0.137001,-2.498924,-2.410978,-1.350037,6.143782,0.493227,3.157081,0.975376,-0.418766,-2.114813,-0.805281,-2.153168,1.716279,-0.304074,1.988252,2
1.561106,1.02767,-3.303693,-0.488519,-3.43291,0.855541,0.700681,2.865557,-1.888809,3.256332,-0.073704,2.358853,-0.1449,-5.828488,1.18724,1.351819,0.097081,-0.613985,-0.135407,2.740289,3
-2.695796,0.143885,-2.64133,6.225568,-0.574949,-0.24008,1.197582,0.272706,-1.866948,0.133514,0.244192,0.597238,0.763675,-3.348183,0.931747,3.607562,-0.340984,0.267959,1.59956,-0.32367,3
-0.311926,-4.700159,4.327609,-2.743154,3.024093,-1.879445,-1.871663,-1.858405,-9.990672,-8.917369,-1.346458,-4.030169,-0.949832,2.229476,6.457222,-4.514571,0.384989,-2.405364,-1.548786,-12.546041,4
-2.229764,2.028058,-2.999157,0.576801,2.619717,0.149527,-0.980845,-0.776428,0.089645,-6.736659,0.364342,-1.50354,0.428058,-0.970785,2.944209,4.448772,1.348505,-1.025571,1.246331,0.669024,2
-2.942597,0.048905,-2.417584,6.085138,0.08636,-0.050705,0.949452,-2.244285,-5.467538,-1.274626,-1.426113,-0.968418,3.752575,-2.039304,0.276995,-2.994189,0.728764,1.448117,0.316016,-7.01384,3
2.57341,-1.392447,-2.631702,-0.160501,-0.811055,-0.435817,-2.06231,-1.991281,-2.750703,-3.616574,0.345448,1.029106,1.37422,-0.996738,2.047609,0.05619,-1.850173,0.8241,-0.119098,0.418379,2
2.011824,4.131376,1.303209,2.779401,-1.438649,-1.594103,2.072618,-1.781256,3.179354,-1.60864,-1.057483,-1.861268,0.690003,-1.383911,-0.411338,-1.468527,-4.109838,-0.854795,0.458793,2.359694,0
2.501668,-0.942233,0.948477,-8.959007,1.411497,-0.863211,0.786017,8.957328,2.814254,-4.571015,0.072597,-7.185541,-1.330498,1.126832,2.141662,-0.324936,4.469768,-0.201305,1.423114,-2.024008,1
-1.004262,4.123681,0.360369,-3.187553,2.567153,-0.28952,-3.427708,-1.588414,4.450405,9.466164,0.479708,4.380457,-0.050086,-3.049263,-5.357618,-0.826141,0.295314,0.084117,-1.287803,5.570992,3
0.800642,0.451257,2.880975,-2.196343,0.886347,0.145776,0.892089,1.226243,-2.667237,-0.744062,0.093144,-1.87274,-1.413227,-2.750941,-0.232316,-2.036274,2.66982,0.858356,0.518351,-3.923602,4
-1.158425,4.552482,1.607431,-2.679135,2.509256,0.598266,1.839209,2.450326,10.3012,5.320819,0.311838,0.64174,-2.017744,1.00291,-0.805205,-2.695654,-5.147643,0.299653,-0.476018,5.879919,4
2.103755,1.111861,-1.332047,-2.015924,-0.515439,0.495047,-1.257523,-1.287226,5.822129,2.441698,-1.744903,4.008562,1.400759,0.220098,-1.562381,1.254033,-2.789582,-0.018751,-0.90055,7.047531,1
0.58285,-0.012042,-3.345314,6.560824,-5.756083,-1.006888,5.569659,1.066109,2.161338,5.245456,1.251335,4.458678,2.822077,-2.789436,-3.171459,1.100337,-0.305036,-1.044423,0.092029,3.211133,3
1.770601,1.231319,-1.316579,-12.097385,2.551277,-0.81771,-2.104589,2.34565,7.241779,3.137309,0.016043,5.98967,-0.959476,0.000667,1.507652,-0.926418,-0.956701,-0.490757,1.115215,7.004557,1
-1.186213,4.812681,0.812994,-2.95057,2.53163,-0.206478,0.968689,0.565281,4.155657,4.626204,0.615594,1.916224,-0.817315,-3.323076,-0.549197,-4.257915,-2.260722,2.081466,0.438057,1.668057,4
5.839442,-3.723403,1.479937,-4.242188,-1.52413,-0.572093,1.611144,1.893102,1.273139,-9.321732,-0.037795,-0.950291,3.390157,-0.731772,3.698222,1.747335,-0.095396,1.172397,0.734749,-1.655027,2
-1.556516,-1.105971,-3.067195,10.703297,2.016452,1.87116,1.847361,-2.902479,-3.035318,-11.065187,0.913597,-3.993723,4.344568,-2.6933,1.113168,3.487734,0.077682,0.058877,0.773054,-5.536058,2
0.497442,0.932749,1.910741,-1.412707,-0.952452,-0.444844,1.835723,1.398678,-6.715711,-1.051012,-1.39832,-3.84701,-3.444257,-1.384611,0.331809,-4.31765,4.021252,2.309215,-0.518627,-5.881697,1
4.561041,-1.283921,1.175123,-4.61452,1.151056,-1.157761,1.515242,5.432378,5.724184,-0.544497,0.166611,-1.730621,-1.604872,-1.181033,-1.280747,-0.709703,-0.55029,-0.900398,-1.067043,2.776143,1
-2.048271,-5.176261,1.696059,-0.35575,2.304873,0.581528,-5.317645,-3.450955,-7.194393,-9.106617,0.216934,-1.472285,3.070701,2.326295,6.898469,4.475588,0.073796,0.79081,2.007157,-7.272095,1
-1.49501,-1.815516,-1.137756,3.090708,-0.832897,-0.473563,1.873753,-2.710926,-4.98389,-6.038524,-1.537708,2.853534,3.199121,-2.677842,4.534648,2.212792,0.560634,0.230663,1.214431,-4.922327,2
-0.287264,0.000423,-3.162612,7.778305,-0.471902,-1.141297,0.032409,0.962502,3.95105,4.896733,-0.570184,-1.687533,4.294463,-0.942243,-4.261019,-1.533848,-4.306509,0.720748,-0.468514,1.43611,0
-3.162188,2.726138,-0.347828,-0.184656,0.970004,0.588311,-1.420775,-1.872549,0.409124,4.634203,-0.180791,2.170144,2.927338,-1.224864,-0.489325,-2.363654,-0.639775,0.952105,1.539907,-1.079119,3
2.354201,-0.588023,2.357256,-7.629095,-1.633742,1.237531,-0.417822,-0.61553,-2.22087,-3.859891,-0.556582,2.307713,-4.365565,2.147543,5.147638,1.499669,0.433118,1.148189,0.236488,1.990557,1
1.890755,2.155522,-2.958974,-0.438322,-3.735429,0.545816,2.083844,3.332863,3.645206,6.391157,-0.736421,2.4432,-0.304386,-2.624248,-1.499454,-0.653997,-1.734088,0.480655,-0.971156,6.040125,0
-3.779105,2.582758,2.362561,0.029654,0.376674,-1.58706,-1.353608,0.507294,-0.026594,12.029082,-0.819971,2.296371,0.000578,-2.603221,-3.023598,-2.895118,-0.226989,0.063594,-1.156524,-0.649405,0
0.015585,1.496118,-2.818899,0.64366,-0.527225,1.527275,2.655607,3.393138,1.852521,7.498513,-1.165273,3.59334,-4.655499,-3.654991,-1.081563,-2.317697,-2.700481,-1.124141,1.375236,4.813958,4
1.598353,3.506284,2.67029,0.709854,-2.990269,0.640861,6.114531,-1.651475,11.159052,-1.540958,-0.031896,3.052743,5.598117,1.314983,-0.611393,0.551572,-3.637748,0.489731,-1.134964,4.445003,0
-1.580223,3.994088,-1.205343,3.565637,-2.567302,-0.07592,1.496718,0.506745,1.904163,6.263386,-0.375584,1.1531,2.854655,-4.117468,-2.633645,0.36208,-0.062391,0.480559,-0.714733,1.995505,3
0.078951,-2.997243,-0.890273,-3.838232,0.733823,0.236528,1.176781,2.071409,4.180416,2.237243,2.237818,4.105323,3.884338,1.274818,0.082818,-2.42371,-0.234332,-0.318719,-0.542162,-0.934749,2
-3.653529,3.616381,-1.130139,3.171196,0.41795,0.130108,-1.079538,1.15739,7.263941,5.893897,-0.773925,0.111055,4.86331,-1.184199,-0.730474,2.217505,-4.184598,-1.105356,-0.307612,3.768592,3
0.449471,-2.410414,1.797225,-0.009229,3.521551,1.166338,1.623323,1.886362,-2.010428,-5.886005,1.676534,-2.76786,-4.733548,-0.409152,3.082009,-0.602886,-1.011254,-0.714858,1.688978,-3.441132,4
-1.056599,-0.279755,-3.42734,2.055531,-3.766159,-0.087563,1.223052,0.709311,-1.180128,5.415754,0.789154,3.384252,2.17647,-0.861176,-1.035053,-0.277266,0.880228,-1.742767,0.650266,0.884239,0
-3.112651,1.068915,-0.268714,2.973325,1.03616,2.576901,-0.644171,2.02441,2.812234,7.238329,0.798756,-0.011682,-0.128858,-0.904316,-2.134758,0.432691,-1.867727,-0.555421,-1.139232,1.73842,4
-4.013629,1.100317,-1.159325,5.343591,-3.503252,0.298857,3.750314,2.848524,3.952221,7.800636,-1.544349,3.347713,0.766324,-0.892078,0.124638,3.61003,-2.346221,1.793023,-0.176175,3.765132,3
0.67871,-2.758929,-2.979621,-0.021782,-1.238148,-0.529908,-1.295557,-0.948753,-3.990776,2.097046,0.665852,3.935633,3.162662,-2.296673,-0.142973,-1.667579,0.776624,0.207115,0.177904,-2.223478,2
0.098167,1.691708,-5.549299,-1.005371,0.394922,-0.243235,0.932898,-1.110926,0.291128,0.412188,-0.815825,1.985596,0.640641,0.724087,-2.296644,-4.5549,2.021497,0.160692,-0.379462,0.997196,3
-4.369318,0.88519,-2.78516,9.680866,-2.770444,-0.975459,-4.074271,-6.670315,-16.673349,0.160789,0.159035,-1.930038,3.835834,-4.698084,1.391795,-1.344996,2.138949,1.343787,0.136775,-10.152975,2
-1.029088,-4.04091,4.725012,1.952028,6.531217,-0.797421,-2.257355,-3.623823,-8.00902,-11.238357,-0.505691,-4.962683,-1.810007,0.155789,4.472883,-1.429843,-0.834063,-0.80312,0.675878,-11.081712,4
1.654637,0.499307,-4.0662,-1.830793,-0.33794,-0.95266,-3.512259,-1.632488,-1.035157,1.224949,1.40703,2.705443,2.485769,-2.059607,1.344243,-2.131641,-3.190097,0.650441,0.50118,2.058969,2
2.193407,1.616311,1.149281,-3.168,0.993427,0.84791,2.667181,1.936619,4.80642,0.040984,-0.338272,2.160287,1.009319,-4.430324,0.03431,-1.260015,-1.204956,0.833039,-0.603901,1.487805,0
1.618693,3.862448,3.687367,-3.106873,0.399645,-0.268514,1.467475,-1.00205,10.228408,3.653455,0.232261,2.623277,2.53431,0.23055,-2.639848,-1.840416,-3.776037,0.038642,0.243805,5.206488,0
-3.266403,-0.120756,-0.810915,4.156539,3.269635,0.301996,-2.485212,-1.429953,-4.863946,-0.250939,-0.270709,-1.21732,-1.686902,-2.959528,-1.435439,3.08149,3.043906,-0.650613,-0.702547,-2.435042,3
1.700153,0.741619,-2.324298,-5.567038,1.808779,0.476985,-1.710698,0.077966,6.288464,-4.741344,-0.371467,0.800512,2.66897,2.124872,1.076848,2.296155,0.108303,-0.616532,-1.972543,4.534243,1
3.60163,-2.027214,3.018926,-14.968327,2.399406,0.827377,1.837172,4.929559,-0.180427,3.596055,0.162317,7.118827,-8.941815,-2.879939,2.361718,-4.304505,2.63976,-0.449952,0.405829,1.695927,4
0.664298,1.880287,-1.812629,-5.318498,0.290915,-0.100738,0.711067,4.281189,-0.808434,6.011835,0.866942,0.796756,-3.197582,-3.507866,-3.275222,-3.393423,5.260694,-2.04226,1.147973,0.823653,4
-0.60073,-1.828224,-0.869563,6.896731,0.87159,-1.032865,2.125046,4.042004,3.131366,5.177514,0.138872,1.572403,1.875785,-7.345369,-1.859263,2.570496,-3.595527,-2.245593,0.031698,0.770063,0
-3.580703,-2.542935,0.868248,17.280932,-0.01139,0.188944,1.689662,-3.438602,-4.739127,3.204221,1.245066,-2.253626,-1.323034,-0.837638,-4.769938,1.251306,-3.128602,-0.285679,-1.278483,-3.665616,0
-0.258616,3.820263,-1.690885,-7.351227,1.104865,2.033639,1.719167,4.778301,5.385873,6.108893,0.723772,1.421022,-3.09849,-0.335694,-1.342277,-4.320695,1.383777,-0.030911,0.178867,4.117991,4
-1.265216,0.354682,-3.307903,-2.082356,0.636437,-1.095495,-3.15267,-2.302476,-4.772143,-9.50388,-0.929479,-0.872279,0.966207,0.276128,6.066395,5.289651,2.517597,0.34162,-0.914507,-0.940146,2
0.680295,-1.570309,-2.395334,-3.504995,-0.704572,0.922349,-1.409575,-2.96865,-2.4623,-0.449226,-0.176916,4.836535,2.70678,1.293344,2.772588,-4.028328,-1.612301,1.466413,-0.44273,-1.54073,2
0.127801,-3.88861,3.699877,-0.936276,2.224386,-1.923341,4.977848,2.549998,0.570495,-3.987584,-0.124634,-1.234008,-5.17425,3.616269,-0.267984,-0.755748,2.992685,-0.723181,-0.829031,-3.439308,4
2.069008,-4.188476,-3.689686,3.347038,-0.335606,-0.126977,-2.361552,-0.88886,-5.52065,-7.237186,0.092619,-0.24916,1.627284,-3.281491,2.056691,6.084532,1.412496,0.063881,-0.124445,-0.988413,1
-0.380948,-0.297969,-3.774424,0.797933,3.95925,1.43551,1.849211,-1.440275,0.481488,-9.712313,0.176987,1.469764,4.052954,-3.809308,3.265424,0.448652,0.252982,-0.583779,-0.616091,-3.34443,2
0.561533,5.078616,-0.03794,-5.244587,0.763893,1.524762,0.911834,3.748768,7.101222,4.604354,-0.256284,-0.845137,0.136164,-1.596811,-1.62106,-3.084502,-0.565513,-0.599903,0.85768,3.971886,4
-1.577088,1.98526,0.132737,-6.030746,-2.06643,-1.383089,2.972889,4.550016,6.471098,8.633316,0.128134,5.262821,1.796864,-0.936668,-1.055701,-0.155462,2.455775,-1.012249,-0.943354,3.45835,0
0.467538,-0.203945,-0.454433,-4.873851,1.848105,0.778523,0.217887,0.056182,3.681659,-1.806291,2.105401,3.789099,-1.366059,0.83094,1.532347,1.754879,0.118974,0.937837,0.336153,3.631469,1
1.222004,-2.589335,-1.633997,-4.824511,3.626759,-0.877912,-0.996026,-0.057088,4.754233,-6.283209,0.452253,2.662307,0.433919,2.503455,2.777288,2.547226,-1.069891,0.232094,0.294651,2.861603,1
0.639903,1.032606,-3.777327,3.034301,-2.599519,-0.512558,0.490581,-0.839698,-0.480677,1.573017,-0.061051,-0.37401,3.10741,0.234246,-1.996827,-2.857833,-0.451403,1.117363,-0.020454,0.167073,0
-2.614738,0.665732,-0.051058,2.400654,1.055244,-0.242522,-1.837827,-0.899188,-0.268432,7.900026,0.506196,1.702586,4.733915,-2.928557,-3.043552,-3.963691,-1.19562,1.336851,-0.180568,-3.250942,3
3.239568,2.817696,0.024423,-13.536603,2.456623,-1.241206,-1.787519,6.450042,14.891625,3.618711,0.427432,0.745427,2.782404,1.429145,-0.541765,-1.145467,-1.770746,-2.11455,0.867625,8.465784,1
4.610224,-2.756333,-2.124996,-2.631842,-0.189247,1.226415,-2.373162,3.28532,3.919018,-3.695417,-1.103874,-1.058759,4.305754,-2.164123,1.111182,3.769954,-1.631778,-1.260496,-0.413952,2.954918,1
1.305265,-2.163961,-0.634839,-4.893935,4.506642,0.669796,-1.369538,1.626229,5.4194,-4.96865,-0.428531,1.450707,-0.679356,0.613696,1.889432,3.635888,-0.697023,0.946831,0.445944,3.422675,1
3.147295,1.974073,-0.400768,0.978301,-1.070928,0.188402,-0.197531,0.570225,7.458557,4.256161,-0.475986,-0.261956,2.558929,-0.199116,-3.522829,-2.204554,-5.313215,1.771358,0.640014,5.619868,0
-4.386168,4.02018,0.563303,-3.13875,-2.214297,1.88557,-3.06819,3.18358,-2.237789,16.011595,0.077064,2.534242,-3.004921,-3.079338,-1.557607,-0.606743,1.62413,-1.810017,-2.553562,2.733451,4
-2.214524,0.26042,3.771537,5.687956,0.072912,0.318868,4.447925,0.539854,0.211411,-0.775488,-0.716289,-1.221185,7.024448,-5.487827,0.82721,-1.733109,-1.214592,-0.179773,-0.418066,-8.709704,2
1.540085,-0.603263,-0.937983,-3.018227,-1.86814,-0.194247,-0.92507,0.500538,-2.403474,3.881054,0.34537,2.813892,2.795529,-2.764406,1.444109,-4.771134,-1.84224,1.745088,-1.876098,-2.096398,2
-0.17896,3.360503,0.044414,-2.884434,-5.086581,1.998949,1.332298,4.420406,2.741643,9.622644,-1.787682,1.781878,-1.170501,-1.459697,0.190729,0.142005,-0.952365,2.509789,-0.136049,5.288928,3
-1.660105,0.539625,-1.397031,4.188286,0.074805,0.730322,1.536387,2.232461,-1.367806,0.772543,1.484828,-1.312353,-2.794398,-2.580564,1.413546,1.36959,-1.664539,0.680917,1.293691,0.26398,3
-2.101957,1.45965,-1.026771,3.402857,-1.889442,0.552914,2.261499,2.691351,2.095061,4.564978,-1.749864,1.044726,0.775571,-2.883938,-0.07323,2.402358,-0.95993,-0.698533,-0.904679,1.943939,3
2.963492,-1.850771,-1.247809,-4.39085,-4.221786,-0.847587,-1.759612,-1.770576,-6.347093,-5.380613,-0.876733,1.204553,2.870621,0.14561,4.442763,0.915952,2.430315,0.740548,0.033734,-2.37634,2
0.876889,0.710177,-2.615345,-4.396987,-1.825764,-0.64223,-1.90614,0.534645,3.204355,3.802503,-0.664201,3.815026,1.218199,1.343761,1.870027,-0.572454,-3.257035,0.085089,0.644871,5.264844,2
-0.7554,-5.400266,-2.679288,3.775456,1.239872,-1.028786,1.545376,-2.918052,-8.904516,-9.528931,1.117997,2.584521,2.033362,-2.692796,5.278918,0.368683,1.044155,0.018593,-0.357754,-8.569214,2
3.6275,-1.333759,1.866599,-10.629481,0.175796,0.472433,-4.353909,1.375364,3.86272,0.464233,0.953049,1.136224,0.244736,3.561113,2.100992,-0.349949,-1.594714,1.481007,1.221893,3.893462,1
-1.277065,-4.152857,-3.219311,4.755727,0.941802,1.891185,-4.153674,-1.386964,-1.484176,-5.498136,2.376381,-1.904845,0.591894,4.125465,4.225463,5.652646,-4.4835,1.282746,0.250212,1.241406,1
0.777234,2.199761,1.410259,6.304314,-3.393606,0.816883,3.327904,-3.904291,-4.322068,0.620145,-1.57141,0.79869,0.808251,-3.570486,-0.187617,-4.004135,-3.002177,0.585703,-0.607939,-3.052289,0
-2.55897,1.088218,-1.964544,2.466251,0.018488,-1.228291,-3.202029,-2.037767,-2.836109,6.299669,1.315498,0.682674,2.059404,-0.64183,-3.289779,-1.961298,1.070005,0.027994,1.248949,-1.135029,3
-1.381687,1.349736,0.694447,-6.291927,0.251428,-0.197233,0.697249,0.665541,0.922758,-1.416186,0.445355,1.859557,3.713646,-0.75563,0.942776,0.804994,5.950776,-0.45739,0.501058,-2.486146,3
-0.992068,0.242783,-3.367365,1.043792,2.831096,-0.231825,-0.6401,-2.234932,-3.079456,-6.606314,1.382479,0.067161,0.815926,-2.204545,1.275612,1.408361,2.621992,0.920356,-0.348983,-2.215375,3
1.862647,-0.141372,-0.998225,-6.545109,1.184794,-0.081806,-2.333758,0.191154,3.024384,-5.440091,-0.427085,0.98336,2.324933,0.532557,3.046037,3.190271,0.730946,0.733947,-1.234893,2.527756,1
1.788562,-1.275199,-0.717758,-5.916799,1.364377,-0.947666,-3.221331,0.776742,2.597981,-2.155757,0.954746,1.924126,1.554337,-0.137868,2.727216,2.531782,-1.083653,0.071713,0.344053,2.82609,1
2.948076,-1.243912,-2.431936,-10.165621,2.449332,-0.681398,-4.388107,4.151152,8.979328,0.688678,0.400875,0.604884,4.728802,2.305438,0.684057,-0.693433,-1.810395,-0.292285,-1.429713,4.621356,1
-0.056862,-0.852507,-1.028685,3.743158,2.70779,0.416807,3.63079,0.617323,-1.207012,-1.920355,1.286374,0.98072,-2.751814,-3.894986,1.358602,-3.355302,-3.304469,0.026049,0.48568,-2.507839,4
2.813788,-2.369728,-3.708803,-3.183798,0.084251,-0.12411,-0.453114,-1.835947,1.873247,-5.915108,0.093608,3.089955,4.004546,1.861323,0.738359,0.454566,1.012735,-0.072082,-0.612364,1.258276,2
-0.516752,-3.82529,4.648319,-0.526172,3.984939,0.764657,-3.568945,-0.378341,-4.869542,-5.468635,0.851278,-4.276222,-0.230993,0.108419,4.439769,-0.075524,-2.107527,0.107095,0.524955,-7.569095,4
5.160335,-2.082202,1.4311,-9.003728,2.381286,-2.447995,1.405458,3.902573,6.892275,-6.025984,-1.520045,-0.581424,-2.359477,2.469877,0.334171,0.731323,1.57831,-1.454381,0.946883,3.616089,1
0.597095,-2.603438,-1.86907,1.98596,-0.840975,-1.053232,1.07769,0.06974,-1.432736,-4.745449,-0.71388,0.951285,-0.975847,0.205164,2.247439,4.329475,0.337928,1.084648,-0.123221,0.963813,1
2.439527,-1.160892,0.898099,-12.523475,0.67139,0.193525,-3.042489,4.265054,4.45987,3.251571,-0.066301,2.474799,-1.535171,2.306453,1.661807,-0.157346,0.784548,-0.977242,-0.218671,4.505739,1
2.777735,0.025144,-1.553595,-4.63452,-0.749359,-0.579332,-3.662186,2.253472,4.289874,4.555143,-2.498261,2.830545,1.09886,-2.055149,0.895935,1.583351,-4.134682,-0.762945,-0.678368,6.716392,1
-1.509182,1.114022,-1.962473,4.297492,1.892326,-0.568021,2.850475,-1.293374,0.535073,-6.554211,-0.456058,-0.443941,6.187072,-4.270223,2.25323,-0.613583,-0.947547,-0.406645,1.032645,-5.123891,2
